ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_chi2,model,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std
16063,28,aegis,0.9455943059,0.3275747757,1.030407597,0.8135420778,0.8555987935,1.268567368,12.46261412,1.373359478,5.333480293,0.4638874753,6.758738126,0.5840135525,1.440198447,0.395994265,0.4513639943,0.0604119148,1.059491202,0.4192712138,0.8076283607,0.1632227859,0.8150839736,0.4210566466,1.263067837,0.3918342163,9.097062014,0.812168451,5.28314615,0.4936639585,13.52371814,0.8117163286,3.015484256,1.236792669,1.565634597,2.118617749,1.239931661,2.977966564,1.236792669,2,1.101791555,1.113157311,1.030407597,0.4192712138,0.8135420778,0.1632227859
25411,29,aegis,1.422013807,9.18E-17,0.9931385146,0.2357562394,1.356050732,0.2982250908,1.75454964,3.786784062,1.66971288,2.060168824,1.502534246,3.037487718,,,,,0.8495110626,0.4168074138,0.3397672354,0.1963135468,1.155387925,0.5024351346,0.3060518085,0.2807145021,,,1.659567578,1.588240681,1.80021412,5.282283849,1.98283325,1.217611073,1.608964855,,1.010988838,2.640225632,1.010988838,2,1.172754812,1.172754812,0.8495110626,0.4168074138,0.3397672354,0.1963135468
12772,30,aegis,1.343479238,0.4635635493,1.08235364,0.8463501104,3.375012356,0.2373017251,5.818318352,0.7542391314,4.655689983,0.992823336,4.805101683,2.503385714,1.798754576,0.532860649,0.4600680642,0.06335659055,1.135656274,0.4957594678,0.8325809533,0.2259034085,3.828490558,1.571993003,0.2660003135,0.167975603,5.014185273,1.69383999,4.446499056,1.099767629,4.681392128,2.920916411,1.456847367,1.334556647,2.018626033,1.708164197,1.340313586,2.175667508,1.334556647,2,,,1.08235364,0.4957594678,0.8463501104,0.2259034085
14044,30,aegis,1.585594596,0.4580233987,0.9994362409,0.8244922582,1.644501433,0.6875326139,14.18015252,3.803129771,9.357668956,2.819538307,7.19894786,3.680419598,1.955880778,0.9337172882,0.4547941087,0.07376430889,0.6603089482,0.5278439016,1.060613423,0.4968984794,1.181821075,0.8489872558,0.8008115544,0.4956983964,14.09464401,5.102884765,9.882524072,1.52618473,41.55716711,4.527391364,4.402660011,3.039719675,2.99387286,4.949696918,2.580768773,10.03266219,2.580768773,2,1.120579768,1.136544042,0.6603089482,0.5278439016,1.060613423,0.4968984794
17442,30,aegis,1.384489821,0.2170467534,0.9999962222,0.6301510517,1.01520021,0.5776117751,2.7932766,0.510992089,2.636662936,0.363252513,2.422768823,0.7104821177,1.75163541,0.5690071637,0.1922627196,0.1076792507,1.151557623,0.4703281241,0.5831800202,0.3005366859,1.247509349,0.4647235991,0.6022057897,0.3610649487,2.57925038,0.9481647638,2.466002221,0.5544398536,4.152325675,0.6826884662,0.7639762121,0.6694983263,0.7785420737,0.911998241,0.7192689706,1.102325601,0.6694983263,2,,,0.9999962222,0.4703281241,0.6301510517,0.3005366859
19842,1,cosmos,2.36822909,0.3139694803,1.1847044,0.6372860688,1.139105511,0.5819330274,1.953622769,0.7846637627,1.919895354,0.3429409813,2.375243,0.3191259356,2.79332555,1.037797994,0.3031984155,0.04732088596,1.288556709,0.5001742546,0.6175088806,0.1658658971,1.253045043,0.531901265,0.5958194083,0.3498140628,4.754735569,1.087248889,1.811485583,0.4562654634,4.330188089,0.3451839941,0.7196147226,0.5215120319,0.599601624,1.394736568,0.549604905,0.9905027243,0.5215120319,2,1.088208167,1.098873634,1.1847044,0.5001742546,0.6372860688,0.1658658971
20236,1,cosmos,2.429206684,0.4409069061,1.542665644,0.6935792004,2.550000329,0.4115254187,3.799277241,1.267665998,2.269106043,1.230458412,2.303284329,0.8632489015,3.04391373,1.115269201,0.4264125996,0.05412021864,1.612751424,0.8463247362,0.6789667827,0.3820828954,2.733721815,1.20105871,0.3613951134,0.2651795162,6.490495648,1.80984335,2.184101335,1.2771267,3.952274844,0.9964684696,1.2874488,0.9741930597,0.8215887222,2.045131419,0.9779250566,1.1995519,0.8215887222,3,1.095754914,1.110737206,2.550000329,1.20105871,0.4115254187,0.2651795162
20423,1,cosmos,1.690703878,0.4094861503,1.025163285,0.7650674975,2.34999838,0.3553690435,3.47941589,0.508135363,2.733456682,0.4528389697,3.154816456,0.6352938895,2.037989355,0.7743302614,0.3910540466,0.07965577646,1.122637819,0.4352153891,0.7433301608,0.1724879592,2.741934058,1.071585328,0.2830729363,0.2245848683,3.451999226,0.66677404,2.768443434,0.4676655964,4.808166535,0.8924333614,0.8959683191,0.7271425156,0.8880817688,0.9594385707,0.7403656463,1.320629497,0.7271425156,2,1.11298222,1.127114718,1.025163285,0.4352153891,0.7650674975,0.1724879592
20912,1,cosmos,2.143888308,0,1.179393027,0.3362459566,1.521619468,0.33267557,1.365871949,0.3003461978,1.319773494,0.1821606698,1.289690996,0.1268819703,,,,,1.363786565,0.5574968613,0.2951196133,0.2117548562,1.450529399,0.5763529218,0.2810536557,0.2874220999,,,1.293025416,0.2607661085,1.303552064,0.1257511197,0.3954633866,0.3352609171,0.3054479732,,0.3641544698,0.3076490477,0.3054479732,3,1.071118167,1.071118167,1.521619468,0.5763529218,0.33267557,0.2874220999
21003,1,cosmos,1.51449035,0.2997815222,1.190401243,0.6010098438,2.150045171,0.3171975917,2.048565542,0.1967511532,1.754314853,0.199985047,1.3426343,0.2232194478,1.922433993,0.7068231625,0.2758722123,0.1133702447,1.418981595,0.6049934267,0.5573709617,0.2510653104,2.36720975,0.9478712356,0.2931050112,0.2278043828,1.89406143,0.3355723425,1.579919381,0.3729103755,1.289529209,0.268202361,0.483101119,0.4273674452,0.3575051029,0.5133003159,0.4684935481,0.3667003357,0.3575051029,3,1.085308316,1.095574726,2.150045171,0.9478712356,0.3171975917,0.2278043828
